Site_ID,Site_name,Sorting,Month,Date,DOY,Week,Time,latitude,longitude,Air_temp,Cloud (%),Wind_km.hr,Field_team,Secchi.m,Depth.m,Max_depth.m,DO Calibration%,Sample_depth,Depth_grouped,Surface_Temp,Surface_DO.sat,Surface_DO.mg.L,Surface_Cond,Surface_Sal.ppt,Surface_pH,Deep_Temp,Deep_DO.sat,Deep_DO.mg.L,Deep_Cond,Deep_Sal.ppt,Deep_pH,TDS.mg.L,YSI_atm,Chl_total,Chla,NH3.mg.N.L,NH3.ug.N.L,SRP.mg.P.L,Nitrate_Nitrite.ug.N.L,DIN.ug.N.L,TP.mg.P.L,TN.ug.N.L,NP_ratio,DIC.mg.L,DIC.uM,DOC.mg.L,DOC.uM,pCO2,logCO2,CO2.uM,CO2.uM.error,pCH4,logCH4,CH4.uM,CH4.uM.error,pN2O,logN2O,N2O.nM,N2O.nM.error,logCO2uM,logCH4uM,logN2OnM,d15N_bulk_POM,d13C_bulk_POM,ugN_bulk_POM,ugC_bulk_POM,PercentN_bulk_POM,PercentC_bulk_POM,C_N_POM,d2H,d18O,EtoI,Water Source,Residence_Time,General Comments,Water_class,Landuse,Age.years,TA_DIC.umol,TA_CO2.umol,b.f.max,b.f.min,Rn.dpm.L,elevation.m,Area.m2,MC.ug.L,Chla.2017
62C,,62C43291,July,10-Jul-18,191,11.00,11:50,50.31711,-106.50481,21.6,33,2,"SE, WB",1.22,1.6,1.5,90.6,0,0,21.9,25.2,2.21,482.4,0.25,8.72,18.2,0.6,0.06,553,0.31,7.61,249.509006,701.7,3.7623644,2.351845267,0.03,30,0.28,399.32,429.32,0.29,2260,8.071,54.27,4518.734388,21.372,1779.517069,550.7166038,2.74092817,18.8152921,2.82767121,4246.778452,3.628059605,5.839848927,0.812206421,0.284676093,-0.545649003,7.136319337,0.073091321,1.274510965,0.766401612,0.853474276,5.005582006,-23.17137256,45.71828989,307.8386303,0.761971498,5.130643838,7.855610292,-100.6,-10.63,0.236201535,rain,,water lower than last time,,,,,,0.011117927,0.000884308,6.91373704,690,780,0.104571185,3.5316949
4C,,4C43292,July,11-Jul-18,192,11.00,10:15,50.33754,-104.50428,21.2,20,20.5,"WB, RR",0.36,1.1,1,90.1,0,0,21.9,110.8,9.7,260.1,0.13,9.99,20.3,17.5,1.58,251.3,0.13,9.43,133.0769295,707.8,29.49078798,24.55255672,0.08,80,0.00273,5.47,85.47,0.03,1290,472.527,21.431,1784.429642,15.794,1315.070774,73.39459108,1.865664055,2.529861548,1.201301498,602.0124495,2.779605472,0.835274342,0.220277563,0.251893828,-0.598782473,6.373931254,0.044535332,0.403096754,-0.078170859,0.804407375,2.474988576,-19.07452126,39.47788595,240.6372865,0.657964766,4.010621441,7.111411722,-67.2,-4.83,0.581479911,rain,,"lots of macrophytes, stickleback fish present",,,,,,0.003489176,0.00335918,#N/A,577,3000,0.079381307,31.76049365
4D,,4D43292,July,11-Jul-18,192,11.00,9:04,50.35228,-104.57455,23.5,90,3,"WB, RR",0.92,0.9,1.5,90.2,0,0,21.6,77.9,6.82,182.4,0.09,9.05,20.9,6.3,0.69,225.5,0.12,7.61,92.82249869,708,33.56853818,32.31574662,0.1,100,0.00158,6.36,106.36,0.02,1490,943.038,28.237,2351.124063,15.768,1312.905912,82.98881644,1.919019571,2.886038809,0.11679127,1467.216219,3.166494119,2.048297903,0.056724431,0.278098378,-0.555801544,7.103898776,0.02757619,0.460302167,0.31139312,0.851496765,2.408039496,-23.71351556,81.74431668,426.0392183,1.362405278,7.100653639,6.080493115,-72.5,-5.47,0.581345009,rain,,"tons of macrophytes - maybe influencing depth meter, ysi to ~1.5m, bubble traps and thermistor chain on edge of dugout",,,,,,0.002580475,0,#N/A,573,575,0.071401958,27.44330157
56A,,56A43292,July,11-Jul-18,192,11.00,12:40,49.98364,-105.28638,20.1,80,29.2,"WB, RR",0.74,3,3,95.5,0,0,21.8,90.8,7.81,3640,2.05,8.62,7.4,2.6,0.28,7927,6.2,7.71,2041.835865,697.8,7.406546092,6.424994575,0.06,60,0.01,7.51,67.51,0.05,1860,186.000,46.621,3881.84846,23.641,1968.442964,360.1431979,2.556475217,12.03979688,0.236890052,31.27081616,1.495139216,0.041760562,0.019345003,0.288635188,-0.539650725,7.140513036,0.278939932,1.08061916,-1.379233663,0.853729416,1.638435884,-30.20610165,33.47309743,145.8505315,0.557884957,2.430842192,5.083454072,-87.1,-8.24,0.347398476,rain,,,,,,,,0.018981254,0,2.518380284,708,610,0.121935587,3.49429128
56B,,56B43292,July,11-Jul-18,192,11.00,13:47,49.98269,-105.30227,25.8,75,4,"WB, RR",0.71,1.6,1.5,91.4,0,0,22.2,81.2,6.96,3751,2.1,8.49,21.1,77.7,6.67,3752,2.11,8.49,2105.715454,698.6,32.56267878,27.65595328,0.08,80,0.11,5.37,85.37,0.17,2520,22.909,65.795,5478.351374,32.742,2726.228143,790.9391586,2.898143078,26.15017519,0.706366211,114.1355025,2.057420755,0.151238405,0.009898493,0.239841041,-0.6200765,5.868503306,0.043587445,1.417474603,-0.820337911,0.768527354,6.586245455,-30.44655527,43.64742621,293.0825837,0.727457104,4.884709729,7.833902494,-87,-9.45,0.171670639,rain,,,,,,,,0.004830875,0,3.516715937,702,13500,#N/A,46.78629513
23A,,23A43293,July,12-Jul-18,193,11.00,12:50,50.48915,-104.50243,29.4,10,1,"SE, RR",,1.8,1.5,100.6,0,0,25.8,200.7,16.32,205.1,0.1,10.16,17.6,1.4,0.14,248.7,0.14,7.11,104.5475367,709.5,286.5162271,290.0225639,0.14,140,0.01,11.15,151.15,0.04,1410,141.000,15.851,1319.816819,15.997,1331.973356,38.80488757,1.588886429,1.204265022,0.182407877,403.0213139,2.605328015,0.521576372,0.196711558,0.207076735,-0.683868692,4.695470671,0.064345295,0.080722073,-0.282682091,0.671679132,-0.284523285,-16.37180742,69.81507449,348.7478732,1.163584575,5.812464553,5.827860555,#N/A,#N/A,#N/A,#N/A,,,,,,,,0.020576066,0.002580475,#N/A,600,1875,0.075015826,#N/A
32A,,32A43293,July,12-Jul-18,193,11.00,10:20,50.43926,-103.67132,24.1,0,6.2,"SE, RR",0.86,2.6,2.5,94.4,0,0,22.2,95.1,8.25,1951,1.06,8.72,11.9,0.5,0.05,3877,2.79,7.15,1074.447773,707.8,14.62976961,13.59589184,0.11,110,0.51,16.68,126.68,0.57,2380,4.667,63.358,5275.437136,28.143,2343.297252,472.9210883,2.67478868,16.08165633,0.857429543,176.2692067,2.24617645,0.241501013,0.009585394,0.274165097,-0.561987834,6.838467081,0.018833791,1.206330777,-0.617081044,0.834958761,3.28940259,-33.57910132,41.29470781,225.185418,0.68824513,3.7530903,6.361985226,-80.3,-7.08,0.448920109,rain,,filamentous algae,,,,,,0.026852752,0.00134146,3.145427035,609,650,0.080522757,106.270756
32B,,32B43293,July,12-Jul-18,193,11.00,11:18,50.44346,-103.65916,26.5,10,6.9,"SE, RR",0.58,2.2,2,88,0,0,22.5,78.6,6.76,1758,0.94,8.99,19.1,0.8,0.07,1704,0.96,8.42,964.4614378,706.9,18.60331235,16.79238675,0.07,70,0.54,7.36,77.36,0.58,2080,3.852,50.303,4188.426311,23.735,1976.269775,287.3257361,2.458374528,9.686585694,1.355215752,414.9800167,2.618027184,0.565420315,0.080422179,0.275256365,-0.56026263,6.80137592,0.020804009,0.986170725,-0.247628592,0.832596779,8.882388947,-30.69468559,43.06387102,271.1375301,0.717731184,4.518958835,7.345533761,-72.5,-6.06,0.463954078,rain,,,,,,,,0.00533019,0.001287167,3.408485976,624,800,0.121445475,5.16767144
32C,,32C43293,July,12-Jul-18,193,11.00,9:26,50.4417,-103.67534,21.8,0,10.2,"SE, RR",1.2,2,2,91.1,0,0,21.4,77.3,6.79,2513,1.4,9.03,20.6,31.8,2.94,2489,1.4,8.91,1395.371109,707.8,7.961483247,7.952667687,0.06,60,0.16,196.63,256.63,0.21,2390,14.938,45.867,3819.067444,24.526,2042.131557,214.231149,2.330882617,7.423711441,1.132920548,368.0747112,2.56593598,0.509502037,0.093758052,0.27109369,-0.566880591,6.910811467,0.066335657,0.870621083,-0.292854075,0.839529045,2.13198551,-25.86707916,35.54869228,137.9656364,0.592478205,2.299427273,4.527871456,-72.6,-5.95,0.494336967,rain,,,,,,,,0.001287167,0.000433097,#N/A,609,600,0.093656476,96.57556422
14A,,14A43294,July,13-Jul-18,194,11.00,9:40,51.04927,-104.6513,23.3,0,6.2,"SE, AK",1.64,4,3.5,108.7,0,0,21.4,48.3,4.08,4387,2.48,8.3,10,0.5,0.05,6276,4.86,7.93,2472.443004,714.4,2.3893958,2.147060513,0.08,80,2.89,2967.72,3047.72,3.8,9300,3.218,96.088,8000.666112,45.595,3796.41965,1530.72934,3.184898406,52.51529952,6.970282668,188.7160641,2.27580887,0.256893246,0.053082415,6.583757088,0.818473799,168.3215425,42.34730557,1.720285847,-0.590247314,2.226139702,10.14918194,-32.56989273,29.16345813,195.5630838,0.486057635,3.259384729,7.823383978,-69.4,-5.94,0.395953877,rain,,macrophytes and reeds at ripirian,,,,,,0.01549119,-0.002195538,#N/A,548,1000,0,13.13894297
14B,,14B43294,July,13-Jul-18,194,11.00,10:30,50.99784,-104.68556,26.7,10,2.4,"SE, AK",2.23,2.3,2,92.3,0,0,23,74.3,6.35,1024,0.53,8.69,18.8,1.9,0.11,1024,0.58,8.28,547.2233385,712.5,1.250374194,0.619299755,0.03,30,0.14,236.96,266.96,0.18,2530,18.071,41.572,3461.448793,26.508,2207.160699,428.1225735,2.631568127,14.38473868,0.3372565,329.0508436,2.517263009,0.449296932,0.066418273,0.444302572,-0.352321173,10.93073463,0.545557735,1.157901977,-0.347466547,1.038649351,4.957118198,-24.16728046,16.35761153,92.15666175,0.272626859,1.535944362,6.572848681,-89.3,-9.08,0.271567614,rain,,"lota of dense, submerged macrophytes, lots of snails living on macrophytes",,,,,,0.008874044,0.000927902,#N/A,563,1450,0.104049749,3.003353625
68A,,68A43294,July,13-Jul-18,194,11.00,12:15,50.63651,-104.68465,32,10,3.9,"SE, AK",0.36,0.36,0,95.9,0,0,25.8,124.3,10.6,276.6,0.12,9.36,,,,,,,141.6653466,710.4,32.38869487,27.00642905,0.03,30,0.91,131.11,161.11,0.96,2480,2.725,30.243,2518.15154,25.507,2123.813489,199.5745071,2.300105065,6.201300939,1.272388926,4595.978509,3.662377989,5.955344024,0.717639895,0.152942333,-0.815472289,3.471968725,0.38643167,0.792482807,0.774906855,0.540575804,3.063253002,-25.46354438,27.86871894,176.6633577,0.464478649,2.944389295,7.395648543,-59.6,-2.32,1.323380908,rain,,"sampled by wading in, too shallow for canoe",,,,,,NA,NA,20.25061077,586,600,0.099740993,#N/A
62E,,62E43297,July,16-Jul-18,197,11.00,10:22,50.3102,-106.42397,20.3,15,14,"SE, RR",1.09,2.1,2,77.8,0,0,21.3,60.5,5.31,3707,2.12,8.09,20,25.1,2.26,3607,2.12,8.14,2080.389368,704.3,9.843256693,9.618551507,0.16,160,1.09,1010,1170,1.2,6400,5.872,76.173,6342.464613,52.871,4402.248127,1796.810263,3.25450222,61.41226592,0.54419679,707.2863496,2.849595276,0.960867722,0.006882141,0.525096145,-0.27976117,13.30289264,0.016745781,1.788255122,-0.017336395,1.123946086,14.34738242,-33.33045445,57.80277357,365.1936233,0.96337956,6.086560388,7.370913208,-66.9,-6.15,0.272881962,rain,,filamentous algae,,,,,,0.00335918,0.000406482,2.015198661,704,700,0.423521015,11.6997516
4A,,4A43320,August,8-Aug-18,220,15.00,9:26,50.33809,-104.48415,24.5,0,3.5,"SE, WB",0.71,1.6,2,92.2,0,0,20.5,76.6,6.89,215.5,0.11,9,17.5,1,0.09,271,0.15,6.41,109.9295983,710.6,39.07756147,36.55960612,0.09,90,0.16,12.82,102.82,0.22,1880,11.750,25.738,2143.04746,21.194,1764.696087,117.1217798,2.068637663,4.219464465,0.444164698,1412.022167,3.149841515,2.021839342,0.035805626,0.270252647,-0.568230044,7.161641016,0.073218834,0.625257334,0.305746643,0.855012548,3.755957132,-23.07117067,45.38052905,295.2610894,0.756342151,4.921018156,7.590728406,-74.7,-5.42,0.681429411,rain,,,,,,,,0.005142992,0.000819185,4.668170204,577,410,0.114803053,48.25065377
4D,,4D43320,August,8-Aug-18,220,15.00,10:45,50.3523,-104.57443,30.4,0,1.3,"SE, WB",1.6,1.6,1.5,93.8,0,0,20.4,73.5,6.63,174.7,0.09,8.99,18.3,1.7,0.17,236.1,0.13,7.36,88.85256497,710.7,14.35743284,13.9208689,0.32,320,0.02,18.96,338.96,0.07,2390,119.500,22.544,1877.102415,20.691,1722.814321,546.2144695,2.737363201,19.73850144,0.545576069,225.7272415,2.353583974,0.323914063,0.049951893,0.289566933,-0.538251033,7.698865157,0.069961995,1.295314178,-0.489570196,0.886426713,2.351122534,-23.0285475,30.35698127,167.6844235,0.505949688,2.794740392,6.444376854,-66.8,-4.03,0.833339473,rain,,,,,,,,0.004033848,0.001554802,9.105715381,573,575,0.140349292,27.44330157
23A,,23A43321,August,9-Aug-18,221,15.00,14:09,50.49117,-104.50245,32.5,0,4.4,"AK, WB",0.17,1.3,1,105.1,0,0,26.1,179.5,14.82,210.5,0.09,9.96,18.7,0.8,0.08,179.3,0.1,8.4,107.3412911,710.1,214.2528703,210.1183484,0.13,130,0.02,5.87,135.87,0.04,1590,79.500,13.659,1137.302248,19.255,1603.247294,56.78856825,1.754260919,1.749836537,0.455472383,271.0056748,2.432978385,0.349182608,0.025216017,0.20635848,-0.68537768,4.644527674,0.01924859,0.24299748,-0.456947396,0.666941555,-0.113739732,-18.43301022,81.16683505,558.9401105,1.352780584,9.315668508,8.034030095,#N/A,#N/A,#N/A,#N/A,,,,,,,,0.024301876,0.009253359,6.051213505,600,1875,0.064459731,#N/A
66A,,66A43321,August,9-Aug-18,221,15.00,11:44,50.12717,-103.86216,31.7,0,0.9,"AK, WB",1.65,2.6,2.5,98.9,0,0,23,55.3,4.76,1789,0.94,8.09,9.4,0.4,0.07,2601,1.93,7.4,982.1198954,710.5,9.461575333,8.564597167,0.11,110,0.01,11.14,121.14,0.04,2370,237.000,71.534,5956.203164,33.576,2795.670275,2267.310487,3.355510997,75.75916911,3.720792581,273.8619624,2.437531716,0.371510635,0.014100254,0.193762472,-0.712730334,4.74214355,0.390402315,1.879435203,-0.43002875,0.675974696,2.787933089,-35.39820518,55.35289053,297.14396,0.922548176,4.952399334,6.262869925,-74.7,-8.04,0.1595006,rain,,water level has dropped since last visit - hobo profile will likely be skewed,,,,,,0.013140603,0.002568301,5.667621766,606,570,0.061737225,29.9486789
66C,,66C43321,August,9-Aug-18,221,15.00,9:57,50.13323,-103.85607,27.6,0,2,"AK, WB",0.87,2.5,2.5,94.9,0,0,21.8,104.9,9.23,381.4,0.2,8.55,12.5,0.3,0.03,441.6,0.28,6.21,196.4586434,710.4,51.28143055,44.1878002,0.06,60,0.00335,5.21,65.21,0.04,1410,420.896,35.304,2939.550375,18.549,1544.462948,344.9194719,2.537717712,11.96551368,0.638086735,505.6465675,2.703847063,0.705410645,0.018055582,0.245392734,-0.610138301,6.24822577,0.052047054,1.077931347,-0.151557991,0.795756714,1.096514814,-29.9134428,55.55966024,378.6542099,0.925994337,6.310903499,7.951150943,-88.9,-8.79,0.310781419,rain,,,,,,,,0.013369213,0.002114786,4.616676273,608,1350,0.1158563,25.94867013
4A,,4A43367,September,24-Sep-18,267,22.00,13:53,50.3384,-104.48415,5.3,100,13.3,"SE, RR",0.53,1.1,1,92,0,0,6.4,85.4,10.55,182.9,0.14,8.29,6.3,81.6,10.09,182.2,0.14,8.17,93.08041719,709.9,100.8980823,94.78303683,0.3,300,0.1,20.68,320.68,0.15,2360,23.600,33.904,2822.980849,21.929,1825.895087,559.5066725,2.74780527,31.81901351,0.582348428,376.8753668,2.576197752,0.75004754,0.080362388,0.267480767,-0.57270744,11.46016926,0.060312333,1.502686711,-0.124911209,1.059191032,6.058063984,-30.63612294,82.47817881,409.2236954,1.374636314,6.820394924,5.788532816,-71.2,-4.63,0.812803357,rain,,,,,,,,7.14E-05,0,#N/A,577,410,0.072690146,48.25065377
66A,,66A43367,September,24-Sep-18,267,22.00,11:44,50.12533,-103.86203,5.9,100,4.2,"SE, RR",1.03,2.4,2.5,94.1,0,0,6.5,46.2,5.32,1994,1.02,7.93,8.9,3.1,0.35,5626,3.08,7.26,1098.968131,707.6,29.69272412,23.13024753,0.73,730,0.05,17.35,747.35,0.08,2950,59.000,79.829,6646.877602,29.478,2454.454621,2413.576069,3.382660991,135.6181451,0.684484123,141.7165991,2.151420722,0.278402444,0.005182401,0.212779625,-0.672069961,9.000789205,0.062706861,2.1323178,-0.555326956,0.954280591,-0.945952552,-35.9456664,50.51640057,226.2037866,0.841940009,3.770063111,5.224133445,-63.2,-4.94,0.445103166,rain,,"wl has dropped significantly, bubble traps are no longer submerged",,,,,,7.72E-05,-0.002634829,#N/A,606,570,0.088634072,29.9486789
66B,,66B43367,September,24-Sep-18,267,22.00,9:45,,,5.9,100,9.9,"SE, RR",0.35,2.5,2.5,58,0,0,6,94,11.69,1568,1.27,7.96,5.6,86.2,10.74,1557,1.27,8.11,856.2970016,706.9,35.4153968,33.84759858,0.08,80,0.00356,31.89,111.89,0.04,2340,657.303,66.079,5501.998335,31.904,2656.452956,984.7084251,2.993307654,56.1194516,3.468113055,239.3301751,2.378997458,0.474226725,0.057297318,0.29072335,-0.536520086,12.50199032,0.11100108,1.749113418,-0.324013975,1.096979158,3.23442015,-37.41171315,57.01243619,318.3554349,0.95020727,5.305923915,6.51462556,-67.6,-5.69,0.399288399,rain,,,,,,,,0.000170154,0,#N/A,606,1000,0.042814489,33.67624104
66C,,66C43367,September,24-Sep-18,267,22.00,10:45,50.13322,-103.8559,5.5,100,6,"SE, RR",0.34,2.3,2,125.1,0,0,6.4,80.5,9.9,303.4,0.23,8.23,6.3,73.8,91.2,302.9,0.23,8.08,155.6403099,707.3,100.9524418,87.55597246,0.07,70,0.00978,4.77,74.77,0.05,1470,150.307,44.145,3675.686928,20.162,1678.767694,708.0222735,2.85004692,40.11080734,0.478317299,351.4625491,2.545879055,0.696749802,0.018234597,0.269477707,-0.569477157,11.49670826,0.058310063,1.603261403,-0.156923146,1.060573511,2.760851322,-33.14850324,66.90722285,441.8448185,1.115120381,7.364080309,7.704483905,-87.5,-8.33,0.362890355,rain,,,,,,,,7.14E-05,0,#N/A,608,1350,0.105791657,25.94867013
61B,,61B43368,September,25-Sep-18,268,22.00,10:40,,,,98,18,"RR, DB",0.23,2,2,86.5,0,0,6.3,96.1,10.63,3757,2.82,8.22,6.3,91.2,10.02,3777,2.82,8.13,2109.169463,712.9,106.6172585,81.080069,0.79,790,0.00221,141.66,931.66,0.03,3440,1556.561,27.181,2263.197336,32.245,2684.845962,736.8924844,2.867404127,40.56778353,2.079157141,48.46341931,1.685414052,0.091947255,0.009787901,0.43071158,-0.365813451,18.28081256,0.909083461,1.60818128,-1.036461232,1.261995496,4.763223514,-23.34510196,46.05196492,350.2013821,0.767532749,5.836689702,8.871896777,-69.2,-4.43,0.70685701,rain,,"no YSI - took discrete samples to measure at lab, water temperatures measured with thermometer in the field",,,,,,0,0,1.756845895,716,1150,#N/A,2.38577762
61C,,61C43368,September,25-Sep-18,268,22.00,12:00,,,,95,22,"RR, DB",0.28,2.5,1.5,86.5,0,0,6.8,93.8,9.87,427,0.28,8.39,6.5,85.3,9.12,350.1,0.24,8.26,220.3931909,712.9,106.6172585,81.080069,0.73,730,0.06,35.05,765.05,0.08,3040,50.667,42.826,3565.861782,25.266,2103.746878,639.6130199,2.805917296,35.9960268,0.608605333,144.554632,2.160032012,0.285689126,0.042756834,0.301136165,-0.521237084,12.74963466,0.120146003,1.556254567,-0.544106289,1.10549774,-1.878285405,-26.39286442,32.17653162,152.3209906,0.536275527,2.538683176,5.522901736,-78.3,-6.04,0.567987204,rain,,"no YSI - took discrete samples to measure at lab, water temperatures measured with thermometer in the field",,,,,,8.30E-05,7.72E-05,3.170965971,725,1050,#N/A,59.8352718
62B,,62B43368,September,25-Sep-18,268,22.00,10:30,50.33081,-106.5079,7.8,75,13,"SE, NB",0.11,0.65,0.65,94.5,0,0,7.3,81.1,9.55,1252,0.96,8.74,7.2,75.9,9.08,1252,0.96,8.71,676.6498044,704.1,108.8427966,99.12217316,0.08,80,0.01,15.23,95.23,0.06,2910,291.000,109.234,9095.253955,33.408,2781.681932,524.3111134,2.719589063,28.50531845,0.863630219,314.4827309,2.497596802,0.602219624,0.064887414,0.276521245,-0.558271496,11.29714506,0.117706101,1.454925897,-0.220245096,1.052968705,7.733016491,-25.97424131,69.92811542,452.5330987,1.16546859,7.542218312,7.549971548,-80.7,-5.61,0.765345282,rain,,"direct cattle use, wl down from last time",,,,,,9.73E-05,0,#N/A,687,1400,0.067491362,40.48132025
62C,,62C43368,September,25-Sep-18,268,22.00,11:44,50.3171,-106.50484,10.3,15,2.3,"SE, NB",0.1,0.88,0.9,80,0,0,7.8,101,11.94,424.6,0.31,9.09,6.7,44.7,5.88,417.3,0.31,8.9,219.1325834,704.4,285.3237985,249.7791515,0.19,190,0.09,11.38,201.38,0.15,2010,22.333,61.541,5124.146545,22.12,1841.798501,174.2146376,2.241084642,9.348092348,0.167851253,157.5685478,2.197469532,0.299587659,0.00700132,0.227320252,-0.643361871,9.157152677,0.054408567,0.970722994,-0.523476081,0.961760455,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-111,-11.87,0.244707678,intermediate,,,,,,,,0.00067617,0.000528819,#N/A,690,780,0.086179203,3.5316949
62E,,62E43368,September,25-Sep-18,268,22.00,12:45,50.3106,-106.42401,10,30,8.7,"SE, NB",0.56,1.7,1.7,98.6,0,0,8.2,74.8,8.6,3424,2.71,8.28,6.4,49.4,6.02,3253,2.71,8.24,1917.636303,703.3,18.1570195,12.46032267,3.56,3560,1.16,184.14,3744.14,1.36,9200,7.931,99.96,8323.064113,66.54,5540.383014,1519.320614,3.18164943,77.38374748,0.420931973,194.7818474,2.289548481,0.348317218,0.004284336,0.665038797,-0.177153018,25.95020356,1.770333569,1.888649758,-0.458025057,1.414140769,12.92454632,-30.5647258,31.97224078,210.5512148,0.53287068,3.509186913,7.683011197,-70.7,-4.24,0.819620831,rain,,,,,,,,0.001012597,-0.000349711,#N/A,704,700,0.109879227,11.6997516
4C,,4C43369,September,26-Sep-18,269,22.00,15:13,50.35229,-104.57451,14.9,98,11.1,"RR, NB",0.18,0.8,0.8,93.2,0,0,8.9,79.6,9.24,378.4,0.18,8.27,8.9,77.8,9.06,378.4,0.18,8.26,194.8854858,707.4,33.45588842,30.58244708,0.05,50,0.00166,5.18,55.18,0.02,1740,1048.193,30.796,2564.196503,16.736,1393.505412,551.9509467,2.741900483,28.62827848,0.781850933,202.9263623,2.30733847,0.376701175,0.058771848,0.295237851,-0.529827964,11.47739499,0.101523403,1.456795233,-0.424003025,1.059843328,3.230690035,-29.42247587,30.46321251,138.4110665,0.507720208,2.306851109,5.300805934,-61.8,-3.26,0.910350758,rain,,"van dorn used instead of pump, spc used instead of cond",,,,,,0,0,#N/A,577,3000,0.117837768,31.76049365
4D,,4D43369,September,26-Sep-18,269,22.00,13:25,50.35228,-104.5745,15.7,100,11.4,"RR, NB",1.1,1.1,1.1,87.1,0,0,8.2,84.6,10.12,253.3,0.12,8.67,6.8,70.5,8.63,256.2,0.12,8.37,129.5411799,707.5,17.58617438,14.83596647,0.14,140,0.02,14.54,154.54,0.05,2300,115.000,28.798,2397.835137,23.867,1987.260616,208.9681577,2.320080114,11.10935823,0.716063385,339.1479749,2.530389228,0.641268253,0.006153158,0.271784555,-0.565775227,10.84745539,0.053676991,1.045688971,-0.19296026,1.035327873,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-65.1,-3.38,1.039814271,rain,,"van dorn used instead of pump, spc used instead of cond",,,,,,0.001100957,0.000359227,#N/A,573,575,0.104098496,27.44330157
56A,,56A43369,September,26-Sep-18,269,22.00,11:00,49.98368,-105.28632,12.9,95,3.3,"RR, NB",2.12,2.7,2.5,90.1,0,0,7.8,80.4,9.34,5844,3.17,8.67,15.3,21,2.02,10350,5.84,7.64,3317.120376,697.7,4.463093865,2.72250326,0.04,40,0.00933,5.86,45.86,0.04,2430,260.450,57.596,4795.670275,30.637,2550.957535,318.6260307,2.503281253,16.10527203,0.186197575,11.22701602,1.050264342,0.019755758,0.00035064,0.307973223,-0.511487042,12.06383514,0.083396338,1.206968065,-1.70430631,1.081485394,5.183991937,-28.72721452,26.4591122,129.135179,0.440985203,2.152252983,5.693982007,-77.5,-6.05,0.555860731,rain,,"meromictic, van dorn used instead of pump, spc used instead of cond",,,,,,0.000111384,-0.014725124,#N/A,708,610,0.099195954,3.49429128
56B,,56B43369,September,26-Sep-18,269,22.00,10:10,49.98273,-105.30236,12.6,100,4,"RR, NB",0.28,1.4,1.4,118.6,0,0,7.1,79.52,9.5,4929,2.64,9.3,7,77.1,9.21,4929,2.64,9.31,2785.92442,698,57.56558436,50.62111404,0.59,590,0.23,75.17,665.17,0.27,3640,15.826,39.407,3281.182348,39.587,3296.169858,68.53725396,1.8359267,3.608145163,0.293965303,24.81111561,1.394646292,0.045428146,0.001500532,0.279367345,-0.55382436,11.27666159,0.192482157,0.557284002,-1.342674985,1.052180547,5.476398896,-25.58873378,39.37710247,225.156635,0.656285041,3.752610584,6.670951502,-77.7,-6.5,0.457402381,rain,,"van dorn used instead of pump, spc used instead of cond",,,,,,9.16E-05,0,#N/A,702,13500,0.130598226,46.78629513
23A,,23A43370,September,27-Sep-18,270,22.00,13:36,50.48923,-104.50234,7.3,95,11.6,"SE, JW",0.15,1.3,1.25,95.9,0,0,7.6,108.3,12.92,147.6,0.11,9.31,7.2,106.1,12.77,146.8,0.11,9.17,74.9116154,712.3,327.5568863,306.2263103,0.05,50,0.01,9.26,59.26,0.05,1660,166.000,24.57,2045.795171,19.244,1602.331391,179.4014824,2.253826027,9.807620467,3.592361917,74.60234749,1.872752494,0.14427457,0.020265738,0.269609856,-0.569264235,11.07911861,0.019149539,0.991563651,-0.840810213,1.044505212,1.125284551,-24.33111123,121.0139334,698.9073234,2.016898889,11.64845539,6.737999953,#N/A,#N/A,#N/A,#N/A,,shoreline indicates there may be groundwater contribution,,,,,,0.000417432,-0.000108581,#N/A,600,1875,0.079236449,#N/A
32A,,32A43370,September,27-Sep-18,270,22.00,10:54,50.43913,-103.6713,7.5,95,5.9,"SE, JW",0.2,1.5,1.5,80.3,0,0,6.5,7.4,0.87,1890,1.35,8.82,6.3,1.4,0.15,1681,1.35,8.85,1039.672845,710,41.03610537,18.7283448,2.01,2010,0.72,17.3,2027.3,0.8,5640,7.833,77.767,6475.187344,38.127,3174.604496,343.2291121,2.535584117,19.27469105,0.807934246,1077.394242,3.03237465,2.112308137,0.230851091,0.281928756,-0.549860625,11.94067157,0.179584518,1.284987425,0.324757272,1.077028753,2.79085532,-23.48157735,22.81736716,180.2407594,0.380289453,3.004012657,9.21582602,-72.7,-4.96,0.835457743,rain,,,,,,,,7.43E-05,0,#N/A,609,650,0.101664655,106.270756
