Sample_ID,Site_ID,Date,Sample,Temp_in,Temp_out,CO2ppm,CH4ppm,N2Oppm,RerunCO2,RerunCH4,RerunN2O,Reruns,Flagged
23-2 ,23,24/Apr/18,1A,3.9,7.2,1953.799,21586.963,0.438,1953.799,21586.963,0.438,REPLACED,
23-3 ,23,24/Apr/18,1B,3.9,7.2,1985.656745,21198.17216,0.4689471396,,,,,
23-4 ,23,24/Apr/18,2A,5.3,7.6,2012.809294,19904.68993,0.4854586624,,,,,
23-5 ,23,24/Apr/18,2B,5.3,7.6,2008.922209,19958.35956,0.4870972658,,,,,
62E6 ,62E,15/May/18,Atm,,,428.9555343,8.570092688,0.3224781594,,,,,
62E7 ,62E,15/May/18,1A,16.5,18.4,287.562,35.733,0.494,287.562,35.733,0.494,REPLACED,
62E8 ,62E,15/May/18,1B,16.5,18.4,250.7503833,34.16241865,0.5309507089,,,,,
62E9 ,62E,15/May/18,2A,16.5,18.6,342.675,23.661,0.445,342.675,23.661,0.445,REPLACED,
62E10 ,62E,15/May/18,2B,16.5,18.6,246.2724675,32.41990207,0.5085880871,,,,,
62B6 ,62B,15/May/18,Atm,,,421.2803494,2.097902298,0.330063629,,,,,
62B7 ,62B,15/May/18,1A,15.4,17.6,308.693,62.401,0.322,308.693,62.401,0.322,REPLACED,
62B8 ,62B,15/May/18,1B,15.4,17.6,275.7399572,62.0893098,0.3530434038,,,,,
62B9 ,62B,15/May/18,2A,15.4,17.9,269.4725014,63.36307948,0.3560275299,,,,,
62B10 ,62B,15/May/18,2B,15.4,17.9,270.6977203,64.13004309,0.3473292658,,,,,
62C6 ,62C,15/May/18,Atm,,,429.3914743,1.919973666,0.3238736064,,,,,
62C7 ,62C,15/May/18,1A,15.6,18.3,455.5995152,426.752909,0.3307391309,,,,,
62C8 ,62C,15/May/18,1B,15.6,18.3,474.4634835,418.3385292,0.3369551695,,,,,
62C9 ,62C,15/May/18,2A,15.6,18.2,431.7893332,408.7714444,0.3318418337,,,,,
62C10 ,62C,15/May/18,2B,15.6,18.2,444.6426823,390.4641847,0.3319582446,,,,,
14B6 ,14B,18/May/18,Atm,,,423.6876837,2.035773429,0.3234307152,,,,,
