Site,Sorting,Site_ID,Month,Date,Time,latitude,longitude,Air_temp,Cloud (%),Wind_km.hr,Field_team,Secchi.m,Depth.m,Max_depth.m,DO Calibration%,Sample_depth,Depth_grouped,Surface_Temp,Surface_DO.sat,Surface_DO.mg.L,Surface_Cond,Surface_Sal.ppt,Surface_pH,Deep_Temp,Deep_DO.sat,Deep_DO.mg.L,Deep_Cond,Deep_Sal.ppt,Deep_pH,TDS.mg.L,YSI_atm,Tows,General Comments,Floating_chamberY/N,Chl_total,Chla,NH3.mg.N.L,SRP.mg.P.L,Nitrate_Nitrite.ug.N.L,TP.mg.P.L,TN.ug.N.L,NP_ratio,DIC.mg.L,DIC.uM,DOC.mg.L,DOC.uM,pCO2,CO2.uM,CO2.uM.error,pCH4,CH4.uM,CH4.uM.error,pN2O,N2O.nM,N2O.nM.error
45A,D45A43683,45A,August,6-Aug-19,13:41:00,49.83188,-101.75697,29.1,50,9.6,"SC, SC",0.17,0.53,0.53,91.1,0,0,24.2,54.2,4.54,974,0.49,8.02,24,50.9,4.29,972,0.49,7.99,518.8619517,704.8,1,"Donkey/pony entered dugout, radon collected at 2:04",N,56.28771897,44.98470387,0.06,0.17,624.7,0.25,11000,64.70588235,98.832,8229.142381,44.782,3728.726062,4524.717085,145.3429314,0.595384437,1385.104781,1.827254282,0.023823685,1.287705324,30.27691832,0.175228021
63B,D63B43689,63B,August,12-Aug-19,14:03:00,52.69182,-106.02981,17.8,75,8.1,"SE, SC",0.57,1.5,2.25,97.3,0,0,20.7,146.8,13.14,432.7,0.23,9.84,12,1,0.11,603,0.39,6.78,223.387453,719.9,5,Do connected to slough,N,50.2053,42.31962,0.09,0.00683,5.26,0.08,3230,472.9136164,48.647,4050.541216,47.853,3984.429642,49.77609015,1.804391151,0.09631521,1240.091273,1.789305044,0.049641467,0.243158327,6.483820772,0.081338994
27A,D27A43684,27A,August,7-Aug-19,10:41:00,49.52956,-101.91077,19.3,10,0,"SC, SC, RR",0.98,1.2,1.2,84.5,0,0,19.7,23.9,2.12,171.3,0.09,7.53,19.3,18.3,1.69,172,0.09,7.22,87.10082399,710.5,3,"Lots of N fixers (duck weeds), cattails in middle/end, pump or old hose, surrounded by trees",N,63.59390167,56.82023958,0.04,0.1,99.15,0.13,931.89,9.3189,23.491,1955.953372,14.111,1174.937552,7350.143885,270.9249965,2.879222776,1168.138907,1.69876136,0.187908567,0.128444239,3.488092457,0.019337257
30A,D30A43696,30A,August,19-Aug-19,18:02:00,51.34095,-108.04356,19.5,5,11.3,"AK, MM",1.63,2.8,2.8,91.4,0,0,18.8,76.2,7.09,192.2,0.1,8.44,17.9,65.3,6.2,184,0.1,7.82,97.88055081,707.9,1,NA,Y,5.85001875,3.283927458,0.00861,0.02,761.94,0.03,1880,94,26.959,2244.712739,17.708,1474.437968,507.7917462,19.15138112,0.489808906,1111.332617,1.640201922,0.042055807,0.407570715,11.33955534,0.095030193
53A,D53A43669,53A,July,23-Jul-19,10:20:00,49.95122,-101.79041,21.8,99%,4.8,"SE, SC",1.56,3.7,3.7,100.7,0,0,22.2,92.2,8.02,764,0.39,8.92,14.1,1,0.1,725,0.45,7.07,399.8291705,715.1,NA,"surrounded by cattails and willows, lots of filamentous algae, radon filled at 10:40",N,59.29622007,56.58006593,0.00485,0.9,211.46,0.96,1450,1.611111111,55.971,4660.366361,21.608,1799.167361,225.5502675,7.774974891,0.305782447,1144.932013,1.592014693,0.036579778,0.262128795,6.631804143,0.01033314
54A,D54A43669,54A,July,23-Jul-19,09:07:00,49.99197,-101.92989,21.6,33%,3.9,"SE, SC",1.5,1.7,1.7,95.4,0,0,20.2,48,4.33,1015,0.56,7.88,16,1.3,0.13,1236,0.75,7.22,542.1177147,715.5,NA,"Salamanders or something similar (mud puppies maybe), radon collected at 9:30, surrounded by wheat field, lots of cattails",N,7.18562615,6.7411206,0.03,0.03,16.48,0.05,1620,54,88.495,7368.442964,32.12,2674.437968,5026.148705,183.4530106,1.003156102,1057.841236,1.529095572,0.033641793,0.201430611,5.409568464,0.032610592
64A,D64A43696,64A,August,19-Aug-19,11:30:00,50.77323,-107.94032,20.8,0,3.5,"SE, SC, Linn",0.25,1.1,1.1,89.4,0,0,18.3,102.1,10.25,259.1,0.15,9.69,14.1,31.2,3.75,250.1,0.15,8.96,132.5568268,700,1,"Very turbid water, lots of macrophytes, lots of freshwater shrimp",N,123.7914735,99.1880133,0.04,0.00649,14.73,0.06,2660,409.8613251,29.855,2485.845129,44.884,3737.218984,176.0988099,6.664921029,3.354586277,1033.360408,1.523452251,3.407507375,0.295062868,8.243728444,0.064495908
59B,D59B43700,59B,August,23-Aug-19,10:12:00,52.61742,-107.39539,17.2,0,2.5,"SE, MM",0.8,0.8,0.8,94.7,0,0,15.4,64.2,6.42,138.6,0.08,9.32,15,59.2,5.95,136.2,0.08,8.95,70.29298978,712.8,1,"only 1 shakey bottle, carboy filled by dunking",N,8.53558495,5.181600467,0.08,0.00446,8.02,0.02,1070,239.9103139,20.096,1673.272273,16.383,1364.113239,270.9251299,11.41875464,4.829406441,898.8499607,1.437647266,0.826160903,0.272350274,8.512543289,0.970398927
51,D5143668,51,July,22-Jul-19,11:45:00,50.33759,-104.5043,22.4,20,4,"AK, RR",0.89,1.1,1.1,91,0,0,23.2,97.7,7.99,1367,0.69,8.35,20.1,4.6,0.42,1249,0.69,7.95,741.99193090000006,715.1,NA,"Many brown macrophytes, cattle access this spring",N,40.39905483,22.830446,0.08,0.03,47.3,0.05,1280,42.66666667,90.767,7557.618651,23.866,1987.177352,1549.531962,51.86697341,0.758684634,1027.848469,1.39977156,0.115367912,0.256407767,6.28848182,0.103548199
57C,D57C43700,57C,August,23-Aug-19,10:54:00,52.40824,-107.92889,17.8,5,9.3,"AK, RR, SC",0.57,0.9,0.9,85,0,0,16.9,71.2,6.89,211.5,0.12,8.34,163,65.6,6.42,208.6,0.12,8.27,107.8588382,699.3,3,"Beaver damn with fresh mud (Shaeya did NOT get to see the beaver and was sad but decided there was an army of beaver), ducklings",N,-2.122564826,-2.83374913,0.02,0.07,78.33,0.15,2260,32.28571429,31.797,2647.543714,30.936,2575.853455,414.5684509,16.35816973,0.204330761,907.2813259,1.377014149,0.019889044,0.263440477,7.690068611,0.03416994
